Texto	Classificador
Só recebi as sacolas	2
Ótimo produto	1
Chegou antes do prazo, produto exatamente como esperava.	1
Pedir skate masculino veio feminino	0
Recebido muito antes do prazo, o q foi uma bela surpresa, o ruim foi a qualidade das rodinhas, q foi uma decepção, o suporte delas é de plastico e duas já quebraram na 1a. sentada e terei q troca	2
O produto enviado veio com a caixa amassada,o tabuleiro rasgado e as fichas já destacadas.O jogo que recebi não era da mesma qualidade e não condizia com o da foto no site.Não era da mesma edição.	0
Recebi antes do prazo determinado, vale comprar pois é uma grandesatisfação em receber o produto	1
Ótimo site para comprar muito confiável	0
Comprei 4 rodas e só chegou 1 cadê as outras 3?	0
Atraso na entrega.	0
A mercadoria veio parcial, mas um dia após chegou o restante.Fora isso estão de parabéns...	1
Entrega foi bem rápida.	1
Veio separado do outro produto.	1
Efetuei a compra de 3 peças , conforme descrito na nota fiscal, mas ontem recebi apenas 2. Está faltando 1 peça, entrei em contato imediatamente com o site e informei o ocorrido e ainda não respondera	0
Tudo ok! Recomendo!	1
Fiquei muito satisfeita com essa e com todas as compras que ja fiz no baratheon, a copra e segurápido e a entrega antes do prazo previsto.	1
Mt bom	1
Tudo veio nos conformes, obrigado!	1
Cumpriu o que se esperava.	1
Não chega no prazo e é a segunda vez que tenho que resolver esse problema, isso quando não chega com problemas no produto. Mesmo assim recomendo por ser uma empresa que conheço a muito tempo.	2
Entrega atrasada!	0
Entrega bem rápida gostei bastante e o produto correto 😁	1
Sempre compro na stark e as entregas sempre são na data prevista, as vezes ate chega antes	1
Vendedor não atualizava a situação da mercadoria o que me gerou insegurança. O status até a entrega era: aguardando emissão de nota fiscal	2
A negociação ocorreu conforme negociado com exceção de um pequeno atraso.	1
Adorei o produto, só que no site v é colocado como vermelho mas na verdade a cor e vinho	1
Comprei facas de presente prometi. Minha esposa nao pude entregar.	0
Produto de excelente qualidade entrega antes do prazo.	1
me conquistou e ganhou minha confiança.	1
muito rápido e seguro	1
Comprei dois cartuchos de tinta e recebi um.	0
Mto obrigada,valeu pessoal...	1
Bom produto.	1
Tudo certinho..ótima cortina	1
Infelizmente o arejador não é articulado e nem 3/4, pois não coube na torneira do tanque.	0
Produto entregue dentro do prazo e idêntico a foto	1
Satisfeito.	1
Comprei 3 quadros e só chegou um, o da guitarra. Quadro de péssima qualidade, impressão de baixíssima resolução.	0
pelo valor pago a qualidade foi bem inferior, eu não compraria novamente	0
Faltou as arandelas que comprei junto, estou tentando contato telefonico, mas até o momento não consegui, passei email ontem também não tive retorno, pedido que não foi entregue 02 657 149 274	2
Parabéns, chegou antes do previsto!	1
O produto é muito bom,mas demorou quase trinta dias pra chegar	1
Produto de excelente qualidade	1
Boa	1
Ainda não recebi	0
Pensei que 16 cm fosse o comprimento do menorah (total do espaço entre as velas) e não a altura.	0
Produto ótimo	1
entrega sempre no praso,	1
Produto nunca chegou.	0
Logistica perfeita.	1
recebi antes do prazo	1
Prefiro opinar após receber o produto	2
Atendimento e entrega 100%	1
E.ntregue antes do tempo, validade otima	1
Muito bom.	1
Olá, o pedido chegou incompleto estou aguardando chegar o restante dos produtos conforme o pedido no ato da compra. Falta o Carrinho de bebê do kit. Só veio a Base e o bebê conforto. Estou no aguardo!	2
Entregou antes do prazo.Produto de ótima qualidade .Super recomendo	1
Produto show! Entregue antecipado. Valeu!	1
Gostei do produto, porém entregaram apenas 1 unidade, faltou uma unidade do produto, algo aconteceu durante na entrega	0
Produto atendido conforme divulgado.	1
Faltou identificar a voltagem na embalagem, e na nota fiscal, é necessário abrir a embalagem pra ver que existe um selinho, com a voltagem colada no motor.	1
No anuncio mostra 9 peças tudo mentira eles contam com o recheio dos travesseiroseus e almofadas que por sinal é de péssima qualidade pedaços de espuma picadas horrível péssimo	0
veio somente uma pastilha de 06 e nao recebi o cloro ainda !!!	0
A princípio tudo certo, ainda não testei pois eh um presente para o Natal.	1
Compra efetuada em 28/11 e a nota fiscal ainda não foi emitida....	0
Comprei a mochila e recebi a sacola.	0
loja pode até ser boa, porem o produto e de ma qualidade	0
Chegou conforme o pedido.	1
Olha pelo que eu vi e uma ótima empresa porém só não me agradou o fato da entrega que se prorrogou mais do que eu esperava	2
Tudo certo	1
produto atende as minhas necessidades, bom custo benebicio	1
Recebi o produto 3 semanas antes do prazo máximo estipulado.	1
Como podem mandar um produto errado ? Não existe conferências? Loja falha	0
gostei o produto e muito bom	1
tudo conforme o prometido	1
Bom	1
n sei oq esta acontecendo, se a culpa é dos correios ou n ja passou do prazo de entrega e nd ainda ja esta a 11 dias parado so em um lugar ate a data de hj 26/03/2018 n sei oq fazer	0
A boneca não é igual a imagem que está no site, por isso fiquei bem desapontado, pois sempre que comprei algumas coisas por esse site eram bem atendidas	0
Não veio o que foi pedido!!	0
Produto lindo! De ótima qualidade	1
nao entregou o pedido dentro do prazo ja solicitei cancelamento	0
Entrega no prazo combinado , chegou certinho recomendo esse loja	1
entrega rápida, produto certo. Só não dou mais estrelas pra stark, pois uma vez comprei um produto que depois arrependi e eles nao trocaram p mim ate hj o produto esta parado fechado lacrado.	2
recomendo	1
Não sei se por culpa da transportadora ou não, o fato é de que não recebi o produto ainda, e já está fora do prazo de entrega.	0
Ok	1
"Produto entregue como previsto. Só achei o material da arara a desejar. Material que não dar muita segurança. Tive q tirar as rodas pois sairam do lugar. No entanto como improviso ""bom"""	0
Comprei uma coisa e recebi uma falsificação. Cancelei o pedido e msm assim foi entregue como se não ouvesse o cancelamento.	0
O produto chegou antes do prazo, exatamente o que pedi os entregadores muito gentis.	1
Tudo certo com a compra, recomendo.	1
Recomendo essa loja.	1
SUPER INDICO,CHEGOU ANTES DO PRAZO PREVISTO	1
Adquiri um produto e o mesmo foi entregue dentro do prazo, mto bem embalado e conforme o combinado...	1
Ótima entrega. Antes do prazo. Um bom produto.	1
Responsável	1
tudo ok so atrasou a entrega	1
Entrega tranquila	1
comprei uma cortina de 3x2,80. me enviaram duas cortinas, sendo cada uma de 1,50x2,80. PALHAÇADAAAAAAAAAAAAAAAAAAAAAAAAA.	0
08/08/2018 13:19	1
ótimo	1
Tudo de bom amoo vocês minhas compras de Natal só com vocês obrigada bjbj feliz natal a toda equipe bjbjbj ..	1
Produto entregue, avaliado e instalado! No prazo e perfeito.	1
Recomendo sim a loja.	1
Compraria novamente!!	1
Frete muito caro	2
Muito profissional a entrega. Perfeito! Ainda teriam 3 dias para entregar e já está na mão. Minha filha é quem agradece.	1
HOJE, dia 02/08/2017- quarta feira, Informo que ainda NÃO recebi 02 Lustres Pendente Meia Lua Meia Bola Esfera Alumínio 34cm escovado, O Correios só entregou até agora 4 dos 6 Lustres que comprei....	0
A parte superior do produto foi mal feita, não encaixa corretamente e está folgada.	0
RECEBI NO PRAZO ESTIPULADO.	2
otina loja recomendo a todos estão de parabéns pela eficiência.	1
Comprei o tapete para presente e infelizmente veio menor do que o anunciado	0
Não recebi o produto correto	2
não utilizei o produto ainda	1
produto bom e com bom preço	1
Não chegou nada ..	0
Teve um atraso de alguns dias(por conta dos correios acredito) mas chegou tudo certinho o Vendedor ainda colocou uma pelicula de brinde, super bem embalado, recomendo.	1
Pedido conforme solicitado. Chegou antes do prazo. Ainda não testei .	1
Satisfação 100%	1
Gostei muito	1
Otimo produto chegou até antes do prazo venho perfeitamente pode confiar loja de confiança	1
Pela foto parecia que não era mais confortável para as costas.	0
otimo	0
Chegou antes do prazo .	1
Depois de esperar o prazo final de entrega descubro que o produto está indisponível. Paguei pelo mesmo com frete e só no prazo final da entrega descobriram que não tinha em estoque?????	0
produto entregue no prazo e de ótima qualidade.	1
Ótimo produto!	1
NÃO TENHO COMO AVALIAR POIS AINDA NÃO RECEBI O PRODUTO POR FALHA DO CORREIO, O QUAL JÁ EFETUEI UMA RECLAMAÇÃO	2
Faz um mês que comprei o produto e o mesmo não foi entregue. Mesmo depois de uma semana após o prazo da entrega.	0
Ótima qualidade recomendo	1
Bom produto , chegou dentro do prazo, eu recomendo!	1
o meu produto foi devolvido do correio quando fui pegar e até o momento não recebi	1
demora, paguei um absurdo no frete ainda não chego, eu reclamei para correio para a lojas amiricanas, o correio falo q não pode faser bada q eu tenho q esperar, ja passo do prazo de entrega	0
Entrega feita no prazo, porém o produto entregue não foi o comprado. Estou tentando resolver a situação.	0
Minha mercadoria chegou antes do prazo e é exelente	0
"Dois técnicos tentaram instalar o produto mas, segundo eles, o aparelho não conecta: ""provavelmente trata-se de um defeito"". Sendo assim, solicito a solução desse problema. Aguardo resposta!"	0
Muito bom	1
Produto bom e Igual o da imagem!	1
muito boa a torneira, gostei	1
Muito Obrigada.	1
O produto não funciona, demora demais par o envio e depois para resolver a devolução	0
ÓTIMO VENDEDOR	1
03/04/2018 17:17	1
não encontraram meu endereço e disseram que não poderia reenviar.	0
"Consta que foi entregue, porém não foi. Não recebi nenhuma informação de transito da mercadoria. Site lannister não da suporte ao cliente, apenas direciona para o ""parceiro q vendeu"" Decepção"	0
Chegou bem antes do prazo, tudo certinho. O produto é bom, no entanto quando você tira a tampinha é um pouco complicado de por de volta. Pra resumir: Compraria novamente!	1
Muito mal embalado, precisa melhorar e muito.	2
2 dias fora do prazo já mandei email pra empresa e ninguém responde estou preocupada de não chegar meu produto tenho urgência em usá-lo já está pago já passou do prazo e ninguém me comunica nada sobre	0
Excelente	0
Estou muito satisfeita com este parceiro de vcs que me enviou este produto, e também com a Empresa lannister	1
Muito bom	1
Entrega antes do prazo	1
Comprei a capa de sofá que já foi entregue ( que por sinal é muito bom ) porém ainda não recebi as almofadas .	1
Parabéns. Chegou bem antes da data prometida. Excelente parceiro. Eu recomendo	1
bom produto,	2
Não estou com o produto em mãos!	0
Gostei da entrega e do produto, mas infelizmente chegou um pouco arranhada	1
Produto muito bom, e chegou dentro do prazo.	1
Indico a todos.	1
Infelizmente não recebi o produto solicitado e pago.	0
CONFORME PEDIDO E NF 021385 DA AMANDINI FORAM COMPRADOS 03 PENDENTES PORÉM O CORREIO SÓ ENTREGOU 02 PENDENTES.	0
Superou minhas expectativas.	1
Comprei um relógio por ORIGINAL, além de vir falsificado veio com defeito, não funciona, e ainda me cobraram garantia estendida	0
Maravilha	1
Chegou dentro do prazo com folga. Embalagem adequada, produto de boa qualidade.	1
Amei a Lousa e chegou bem antes do prazo	1
O produto chegou com 16 dias antes do prazo...adoreiiiii	1
só não gostei por q o produto não tem o selo do imetro. mais o resto estava tudo serto.	1
recomendo	2
Ótimo produto, recomendo Material bom acabamento perfeito.	1
ótimo produto, recebi em uma semana.	1
Confiança nesse site	1
Estou satisfeita recebi no prazo	2
O produto entregue estava correto. O único senão foi que a loja poderia ter protegido melhor o produto. Ao cortar o embrulho externo de papel quase cortei o tapete com a tesoura.	1
produto correto e entregue bem antes do prazo combinado.	1
Passados 50 dias, não recebi o produto.	0
Muito rapido	1
não veio uma NF com o valor total da compra.	0
Chegou antes do prazo e é lindo o relógio	1
O relogio não esta funcionando. Nao esta quebrado. Mas nao funciona com a pilha de jeito nenhum. Veio com defeito	0
Muito linda. Ótimo material. Superou minhas espectativas. Entraga muito antes do prazo. Obrigada!	1
Otimo comprar por este site as mercadorias chegam antes do prazo determinado.	1
Recebi o produto porém não é original,e como é um produto pra ingerir não quero colocar a minha saúde em risco.	0
Pedi um produto e veio outro	0
Fiz a compra de 2 cartuchos de impressora, que estou precisando muito, e até agora não recebi.	0
Não recebi nem uma notificação de atraso	0
Adorei o produto chegou 12 dias antes do prazo	1
Satisfeita	1
chegou antes do prazo.	1
Chegou antes do prazo	1
Confiavel	1
Produto ficou pequeno não se enquadra no padrão king	2
Recomento produto e parceiro.	2
recebi o produto praticamente um mes antes do previsto!	1
Amei o produto..recomendo	1
A impressão do quadro é péssima. Detestei e estou tentando fazer a devolução do produto	0
Entrega muito rapida	1
Produto de acordo com o anunciado.	2
Vendedor ágil e prestativo, porém entrega dos Correios uma M****... demorou quase 1 mês pra vir de SP até o RS. Uma Vergonha	1
Entrega antes do prazo. Recomendo	1
Produto superou minhas expectativas	1
A trasação e a entega do produto ocorreram dentro da normalidade	1
Meu tapete ainda não foi entregue.	0
Entraram em contato cmgo relatando um desencontro do produto, no anúncio consta numeração 40 q é o meu n°, mas no estoque so tem numeração 38. Favor, mantenham o site atualizado p/ evitar transtornos.	0
Recomendo a todos que procuram um produto de qualidade e rapidez na entrega. É show !	1
O prazo para entrega do produto era dia 21//3, hoje é 26/03 e ainda não chegou. Já enviei mensagem para a empresa para saber o que está ocorrendo, mas eles não me responderam. Não recomendo	0
Recomendo....	1
Muito satisfeita produto entregue antes do prazo, obrigada	1
um otimo produto adorei! a entrega tambem è rapido.Parabéns!	1
excelente	1
Produto entregue adequadamente e muito rápido, gostei muito do serviço.	1
Sem comentários, prazo, qualidade, eficiência e etc......	1
Solicito a troca do produto	0
Ótimo produto é bom vendedor	1
entrega super rápida e em ótimas condições.	1
Ótima mochila material e tamanho perfeito.	1
Produto de altíssima qualidade super recomendo	1
recebi antes do prazo , empresa muito eficiente	1
Entrega rápida, recomendo!	1
Foi muito bom comprar com vocês	1
Recebi tudo conforme foi conbinado	1
Parece que o produto não foi testado antes de sair da loja, tempo de espera perdido, produto defeituoso.	0
parabens chegou em tempo abel	1
Recebi o produto errado, ao tentar entrar em contato com a stark não obtive sucesso. Tentei entrar em contato com a empresa parceira do sub Marino e tb não consegui. o telefone restrado no CNPJ na	2
Gostei do produto, de boa qualidade, bonito, recomendo.	1
Lençol de baixa qualidade, transparente, produto descartável	0
A loja entregou o produto antes do prazo combinado. Fiquei muito satisfeito com o produto	1
o produto é otimo, super resistente e muito mais higienica que as outras..recomendo.	1
otimo	1
Muito bom!	1
Na página do produto a foto mostra um produto original, com a maçã da apple. O produto chegou e não é um produto original.	0
É isso aí lannister!!!	1
Estive peneirando minha pesquisa em jogo de cama de solteiro e 100 % algodão e infelizmente depois de olhar vários acabei escolhendo um que depois de concluir a compra fui verificar que era de casal .	0
regular	0
Só foi feita uma tentativa de entrega, tive que retirar no correio e em um prazo também bem apertado	1
Não gostei	0
Comprei o controle no dia 23/04 com prazo para entrega ate dia 10/05. Porem o controle chegou no dia 25/04 pela manhã. Super rápido a entrega, e estou muito contente com o controle. Obrigada!	1
Pedi o cancelamento deste produto, mas a loja ou o sistema do site da lannister não cancelaram. O produto foi deixado na agência dos Correios. Não pretendo ir buscá-lo. Desejo o estorno do valor.	0
O relógio veio com um ponto preto na casa decimal dos minutos, um defeito pequeno mas bastante perceptível, qq mínimo controle de qualidade teria identificado e não colocado o mesmo a venda...	2
Produto chegou antes que o imprevisto, e em excelente estado.	1
...	1
boa noite, recebi o tecnico instalou dia 28/05/18 e hoje dia 31/05/18 a placa queimou, e agora o que que eu faço? o produto foi instalado seguindo toda a orientação técnica recomendada.	1
Gostei do produto e do atendimento, a entrega veio ate antes do previsto. Muito bom.	2
Produto dentro das expectativas visualizadas no site.	1
Mentiroso paguei 3 canecas veio só uma e rachada quebrada.. Já foi descontado o valor das 3 canecas xô meu cartão... E só me mandaram uma e rachada quebrada.. cade as outras????? Falta de respeito	0
Excelente produto	1
comprei um kit com uma mascara magic color e chegou pra mim uma mascara energetica forever liss. Quero a correta.	0
Produto veio certinho e antes do prazo	1
Adorei otima qualidade	1
Apenas foi entregue 1 mercadoria	0
Entrega antes do prazo	1
ótimo produto, alem da expectativa.Encaixa perfeitamente no mandril sds plus	1
Meu produto ainda não foi entregue estou muito insatisfeito com a loja.	0
Entrega antes do previsto. Parabéns pela rapidez! Produto exatamente c	1
produto original de qualidade, lindo, chego muito antes do previsto, transporte seguro, uma das melhores compra on line que já fiz, obrigado.	1
Entrega no prazo, muito bom	1
Produto de boa qualidade, muito bonito, muito bem acabado e com excelente preço.	1
gostei de comprar nas lojas lannister e mais barato	1
Demorou uns 20 dias para chegar o produto até em casa, presumo que foi por culpa dos Correios, devido ao feriado de Carnaval. Mas chegou um dia antes do prazo estipulado.	2
Produto diferente do anunciado	0
Parabéns a loja por ter entregue o produto anunciado e antes do prazo previsto!! Produto muito bom conforme o esperado!!	1
Só acho que tem que ser mais fácil de acompanhar o produto durante o transporte	2
Sempre gostei de comprar neste site, devido as divergências com o cartão stark que cobra a anuidade muito caro eu canselei o meu cartão stark e fui comprar nos concorrentes.	1
estão de parabéns com a pontualidade de você	1
Produto muito bom, entregue sem problemas, e antes do prazo previsto. Recomendo	1
Maravilhoso	1
Melhor do que eu imaginava produto muito bom	1
Minha opinião, como consumidora esperando o produto, para uso de trabalho, a resposta foi nenhuma dos correios quando entrei com o protocolo dos senhores não havia entreg, depois área de risco simples	0
Não gostei tecido ruim péssimo	0
O produto chegou antes do prazo e em perfeitas condições. Estou muito satisfeito!!	1
Produto não entregue	0
produtos de qualidade	1
Entrega rápida, antes mesmo do esperado, porém, a entrega veio incompleta, uma vez que comprei dois itens e me foi entregue apenas um	2
Não gostei do produto, vou solicitar troca	1
Muito bom	1
Nas fotos parecia mais macias,pelo valor ñ compensa..	2
Produto c defeito, tentei por várias vezes, mas foi muitas, devolver o produto abrindo chamado na lannister e não consegui.	0
Cortina igual a pra foto. Bonita e entrega bem rápida. Recomendo o produto e a loja.	1
Comprei mas nao veio entrega ainda queria dabe onde esta o produto	0
muito obrigada	1
Entrega rápida.Recomendo	1
Produto com alguns defeitos e nao foi entregue a tesoura 5.5 e sim 6.0.	0
Recebi o produto no dia seguinte à compra. Fiquei muito satisfeito	1
mas não gostei do produto. achei o gosto muito artificial. ja havia comprado outra marca de cramberies e não era adocicada como essa.	1
Não recebi o produto	1
creio que o atraso e dos correios	0
Chegou antes do prazo amei	1
Entrega rápida dentro do prazo	1
Muito bom	1
Loja muito ruim	0
Produto entregue no prazo, foi entregue corretamente e atendeu as minhas expectativas.	1
Desta vez, bateu record. Fiquei feliz. recomendo sempre.	1
Chegou atrasado mais se desculparam e fizeram a entrega.	2
Excelente produto, entrega antes do prazo.	1
Excelente obrigado chegou antes do prazo tudo perfeito.funcionando maravilhosamente.abracos.	1
Bom dia!!! Ainda não recebi a minha encomenda!	0
Nao recebi... e nem recebi justificatica porqie tá demorando	0
Ainda não instalei, mas gostei do fornecedor ter ligado para confirmar se o era para gás enviando ou gás de botijão... Evitou que o aquecedor viesse errado e conseguiu ajustar o pedido para gás GN...	1
Livro magnífico e entrega no prazo	1
Chegou antes do prazo produto, produto chegou perfeitamente!	1
Só foi entregue um dos produtos	0
sempre compro e sempre comprarei, loja 5 estrelas.	1
Produto e fenomenal	1
Estou satisfeito com produto adquirido e o tempo de entrega mesmo com a paralisação dos caminhoneiros.	1
preciso receber já está pago, houve erro de numeração no imóvel, já corrigido, por favor, me ajudem...	0
Não entregaram na cor que escolhi.	2
Muita demora para avisar que não tinha o produto, venderam o que não tinham, demora para devolver o dinheiro, absurdo.	0
chegou super antes do dia previsto, otimo produto e facil instalação, so nao vem parafuso mas isso é o de menos produto muito bom mesmo.	1
Gosto muito de comprar pela internet principalmente sendo site da lannister	2
Compra segura	1
Comprei o produto como presente, o correio fez a primeira tentativa de entrega e não havia ninguém na residência e o produto teve que ser retirado na central dos correios e apenas eu poderia retirar.	0
Produto chegou conforme no anúncio	1
Produto ótimo e de boa qualidade! Chegou até antes do previsto. Podem comprar sem medo!!	1
Bom atendimento	2
Excelente	2
Muito bom, correu tudo conforme combinado.	2
O fone nao recarrega, nao segura carga..	0
Comprei um controle duosat trent e veio um paralelo	0
Estou esperando o meu produto ser enviado nova mente. Para as agencias do,correios	2
O atendimento foi excelente e sempre que eu precisar de fazer uma compra pela internet estarei utilizando o serviço da lannister.com	1
Boa noite!	0
Não recomendo pois recebi um produto diferente do solicitado	0
Adoro comprar na lannister.com........	1
Me mandaram os potes vermelho, comprei preto....	0
Nao recebi o lustre de bola o quadro foi entregue.	0
O produto foi entregue conforme pedido. No entanto, a película veio rachada. Como faço para proceder quanto a isso?	1
Está dentro do que eu esperava.	1
Achei que a corda do pescoço fosse mais grossa, pelas imagens, mas ela é bem fina.	2
Estou de 16 semanas e da pra ouvir direitinho o coraçãozinho! Vale a pena!	1
Ótimo	1
Cliente de muitos anos, as Lojas lannister sempre prestou-me um atendimento excelente. Nao é novidade.	1
Não recebi produto ...	0
Muito bom comprar neste site.	1
Excelente, produto ótimo e a entrega foi antes do prazo.	1
Entrega no tempo previsto,tudo conforme combinado.	1
GOSTARIA DE FAZER UMA RECLAMAÇÃO:	1
Produto chegou dentro do prazo e a qualidade é excelente. Recomendo.	1
Não houve contratempos, tudo estava nos conformes. Muito obrigada Stela Borges	1
Ainda estou aguardando a entrega do meu produto, mais de trinta dias de espera e nada de chegar.	0
Os meninos adoraram! O único porém são as ventosas que devem ser diariamente verificadas para não se soltarem. Mas há outras duas opções de encaixe: fita dupla face e parafusos.	1
Recebi um modelo de relógio diferente do que comprei. O modelo Casio que comprei é o A680, porém, para minha surpresa recebi o A168. Fora isso tenho lá minhas dúvidas sobre a originalidade do produto.	0
Gostei muito do produto	1
Gostei muito	1
recomendo	1
entrega bem antes do prazo marcado...muito bom produto e bem mais barato que nas lojas convencionais. Recomendo.	1
Cumpriu-se de acordo com o contratado.	1
Sem comentários	0
Muito bom	1
Em se tratando de avaliar a entrega não tenho o que reclamar, porém recebi o produto danificado.	2
Por duas vezes adquiri produtos com vocês,sendo cobrada taxa de entrega contudo das duas vezes realizadas nao foi entregue conforme acordado bem como não houve a restituição dos valores	0
Chegou antes do combinado bem embalada em perfeitas condições já conheço a Américas confio de mas . E super recomendo o site da Cuba. Amei	1
Otimo	1
Não gostei trabalho deles	0
muito bom, atendeu a minha expectativa.	1
Comprei dois produtos e recebi apenas um	0
Mercadoria entregue em ordem, antes do prazo final estabelecido. Considero o fornecedor ÓTIMO.	1
alguns pinceis estao com as cerdas soltando	2
mandaram o carregador sem a parte do cabo que coloca na tomada, mas o carregador funciona	2
Excelente	1
Boa noite!	0
chegou antes do prazo parabens ...fala que vai chegar em 20/11 dias mais chega bem antes amei	1
Meu produto não chegou ainda .	0
Satisfeita com o atendimento.	1
Chegou bem antes do previsto,recomendo muito!	1
muito bom chegou tudo direitinho. Obrigada!	1
Recomendo	1
Adorei o produto e a rapidez na entrega.	1
Depois de pago e depois de 7. Entrega para 9 Dias aparece produto indisponível. Sacanagem. Só depois de 17 dias a América vê o problema depois que eu mandei 2. Email é o pedido das 12 canecas.	0
Nem usei ainda mas percebi que São boas	1
O produto chegou muito antes do prazo previsto, veio em ótimas condições e muito bem embalado. Recomendo!	1
Prateleiras com cantos vivo, colunas nao encaixam, faltam arroelas para nao danificar a pintura, prateleiras chegaram todas amassadas.	0
produto correto, entrega antes do prazo final, bom preço e de boa qualidade: recomendo.	1
O relógio esta atrasando, mesmo após ter tido seus ponteiros reajustados por diversas vezes. Além de estar tentando trocar o produto e não obtido êxito.	2
Sempre é bom comprar nas lannister	1
Produto entregue dentro do prazo sem problemas	1
O serviço de entrega foi rápido e o preço sem abuso	1
Razoável	0
A ENTREGA FOI RÁPIDA. A PANELA É DE EXCELENTE QUALIDADE.	1
Amo muito , vou comprar sempre .	1
Tive que cancelar o pedido, pois a empresa entrou em contato e disse que não tinha como efetuar o envio do produto... Uma situação um tanto chata, você paga, espera e depois de dias tem que cancelar.	0
Produto de boa qualidade e entregue antes do prazo.	1
Foi tudo bem. O que demorou foi por causa do correio. Obgdo.	1
O produto chegou bem antes do prazo estipulado. Quanto ao produto, ele é realmente muito bom, porém para meu tipo de uso o formato me decepcionou um pouco, achei muito estreito. De resto tudo perfeito	1
xxx	0
Usei dois dias e tá dando curto	0
Adquiri 2 mochilas pelo site lannister de e parceiros diferentes. A targaryen de MG entregou bem antes do prazo previsto, sendo que a outra da Pacific que vem de SC ainda ñ foi entregue. Parabéns a targaryen	1
PENA QUE VEIO FALTANDO UMA PARTE DA MAQUIAGEM.	2
Achei o frete muito caro, pois fiz duas compras conjuntas.	2
Recebi antes do prazo estipulado,muito bom.	1
Produto com nota fiscal, abaixo do preço da concorrência, entregue antes do prazo especificado	1
Atrasos acontecem nenhuma empresa está livre de passar por algum problema de logística. Mas o fato de não comunicarem seu cliente final é vergonhoso. Até o Mercado Livre tem controle sobre atrasos!	0
Comprei Três pneus para bros	0
Bom prazo, rapidez no envio. Tudo ok.	1
Primeira vez que tenho problemas com a lannister. Acredito que não seja comum, dado meu histórico de compras. Espero que não se repita	0
Pedido chegou no prazo, colar de acordo com site , super satisfeito.	1
CHEGOU ANTES DO PRAZO , E O PRODUTO MUITO BOM	1
Exatamente como especificado e ainda veio dentro do prazo.	1
Muito satisfeito, produto de ótima qualidade e rapidez na entrega.recomendo sim essa loja, continue assim sempre melhorando cada vez mais.	1
produto recebido e funcionando, muito bom.	1
Devolvi as toalhas, porque não foi o que esperava em relação a qualidade do produto a entrega e assistência da baratheon estão de parabéns portanto comprei outros jogos de toalhas	0
O único problema foi que comprei 3 pote de banho de verniz de 1kg),e só recebi 1 pote de 1kg.	0
Corretos e precisos.	1
Recebi o produto dia 15.12.17 e encaminhei um e-mail ao stark sobre ter recebido o produto com Defeito. O stark informou que estaria repassando para o parceiro. No aguardo da resolução.	0
infelizmente recebi o produto danificado	0
Além do preço ótimo, a entrega estava prevista para abril, e chegou muito antes do esperado!!! Testei a máquina e está tudo nos conformes.	1
Chegou tudo de acordo com o anuncio e antes do prazo especificado pelo site.	1
Comprei 3 luminárias, só recebi 2. Já abrir chamado e não tive resposta.	0
Ótimo produto, veio tudo certinho, bem embalado	1
Entrega rapida, as toalhas sao boas pelo valor	2
macio, regulável, muito confortavel	1
Tive problemas sérios com a troca de local de entrega e meu produto nunca chegou, cancelei a minha compra e dificilmente volto a comprar	0
SIte com otimos produtos,chegou no prazo..	1
Melhor cardboard. As lentes corrigem a distorção de bordas que é padrão agora nos videos 360°	1
A pantufa é linda e meu pai adorou. Chegou no prazo, super recomendo.	1
O PRODUTO VEIO COM O TAMANHO ESCRITO ERRADO DO QUE FOI PEDIDO, POREM SERVIU.	1
19/04/2018 10:46	1
Conforme descrito	1
Ótimo	1
Muito bonito, e atende o que diz! otimo produto!	1
sempre compro no stark	1
Prazo excelente !!	2
Boa tarde!	0
Ótimos preços	1
gostei chegou no prazo, preço bom	1
a Entrega não foi realizada.	0
Produto deixa muito a desejar!	0
muito bom	1
Demoraram muito pra colocar as coisas no correio	2
Adorei	1
produto bom recomendo	1
Adoro comprar neste site, as entregas sao sempre antes, mercadoria de otima qualidade. Com certeza eu indico esta loja.	1
Linda boneca, minha filha gostou muito!	1
Com um pequeno detalhe. Como envia o produto sem nota fiscal. Obrigada. Estou aguardando o nfe	1
Produto entregue conforme anunciado	1
Ok	1
Alterar a transportadora do Correios, para transportes particulares.	1
Produto veio avariado e até o momento não entraram em contato para troca.	0
entrega rápida e eficiente	1
Excelente atendimento entrega antes do prazo	1
Produto entregue antes do prazo	1
Ótimo produto, acabamento perfeito, discreto e muito fácil para instalar.	1
Muito ruim a qualidade, as bordas do desenho veio com aspecto de queimado, não consigo tirar a pelicula da frente do espelho pra ver se afetou o mesmo... sem adesivo pra fixar.	0
a qualidade do produto é melhor do que eu esperava.	1
Só faltou o produto ser de maior qualidade. Mas funciona tudo corretamente,chegou 1 semana antes do prazo	1
Amei veio tudo certo muito lindo eu recomendo para quem for comprar valei apena!	1
estou insatisfeita em relação a entrega que não foi entregue ainda,já paguei a parcela do produto e não o recebi ainda.	0
Recebi dentro do prazo. Ainda não testei.	1
Estou muito contente com o produto e rapido na entrega.	1
Gostei bastante	1
Produto ultrapassou as espectativas, chegou muito antes do prazo, provavelmente por ser uma cidade próxima, porém estou muito satisfeito.	1
Não recebi	0
Meu pedido era para ser entregue até dia 22/03/18, até a presente data (24/03) a nota fiscal não foi emitida, solicitei várias vezes não obtive retorno, não recomendo esta Loja, nem a lannister!!!!!!	0
Prezados,	0
Faltou um produto o, a guia dupla cinto segurança para dois caes	0
